c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          78801219
c   Number of nodes:      3000
c   Source nodes:         15
c   Sink nodes:           15
c   Number of arcs:       30000
c   Minimum arc cost:     1
c   Maximum arc cost:     50
c   Total supply:         9000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 3000 30000
n 1 1167
n 2 448
n 3 462
n 4 600
n 5 1438
n 6 304
n 7 495
n 8 380
n 9 241
n 10 221
n 11 814
n 12 453
n 13 87
n 14 625
n 15 1265
n 2986 -353
n 2987 -779
n 2988 -485
n 2989 -359
n 2990 -719
n 2991 -737
n 2992 -1652
n 2993 -347
n 2994 -877
n 2995 -305
n 2996 -115
n 2997 -27
n 2998 -1443
n 2999 -198
n 3000 -604
a 1 2622 0 1167 50
a 1 1406 0 9 37
a 1 2879 0 8 7
a 1 2257 0 4 44
a 1 2293 0 7 41
a 1 2885 0 2 50
a 1 1164 0 4 29
a 1 2420 0 5 5
a 1 21 0 3 26
a 1 868 0 6 41
a 1 1994 0 1 31
a 1 1290 0 5 26
a 1 2103 0 2 6
a 1 2896 0 2 1
a 1 68 0 5 22
a 1 1718 0 6 47
a 51 2217 0 1167 41
a 51 72 0 8 35
a 51 1303 0 5 3
a 51 2816 0 7 45
a 51 2904 0 8 25
a 51 2486 0 1 7
a 51 2745 0 3 46
a 51 2570 0 3 15
a 51 1801 0 5 43
a 51 882 0 6 47
a 51 553 0 7 10
a 51 894 0 10 47
a 82 1569 0 1167 50
a 82 2508 0 3 12
a 82 137 0 3 36
a 82 909 0 8 17
a 130 2269 0 1167 47
a 130 490 0 2 23
a 130 2654 0 3 20
a 130 1677 0 1 17
a 130 992 0 7 22
a 130 289 0 8 31
a 130 1783 0 2 28
a 130 1470 0 8 20
a 130 2281 0 5 35
a 130 2656 0 8 44
a 130 1247 0 9 16
a 130 1586 0 6 10
a 130 2258 0 2 28
a 130 2018 0 10 32
a 130 2921 0 3 18
a 130 1771 0 1 50
a 130 2641 0 9 30
a 142 1967 0 1167 50
a 142 220 0 4 37
a 142 1234 0 1 32
a 142 1987 0 8 37
a 142 1289 0 3 1
a 142 35 0 9 48
a 142 2258 0 1 37
a 142 1419 0 4 49
a 142 2111 0 3 31
a 142 2297 0 8 1
a 142 2766 0 6 45
a 142 1483 0 4 31
a 142 1062 0 9 36
a 142 914 0 5 1
a 154 1497 0 1167 38
a 154 1399 0 6 12
a 154 546 0 8 38
a 154 473 0 9 44
a 154 723 0 4 13
a 154 522 0 7 24
a 154 2904 0 2 43
a 154 2582 0 4 1
a 154 1286 0 6 28
a 154 1183 0 4 22
a 154 2376 0 8 30
a 154 2205 0 5 30
a 154 1625 0 9 17
a 154 2258 0 4 45
a 155 1229 0 1167 50
a 155 2048 0 2 9
a 164 1436 0 1167 18
a 164 1328 0 10 25
a 164 560 0 10 2
a 164 2282 0 5 14
a 164 1784 0 1 17
a 164 1768 0 5 8
a 164 2364 0 4 1
a 164 1167 0 5 45
a 164 1193 0 4 47
a 164 2586 0 6 44
a 164 1582 0 7 20
a 164 2945 0 2 33
a 164 1446 0 4 37
a 164 781 0 2 39
a 164 161 0 3 20
a 164 1722 0 5 17
a 176 746 0 1167 50
a 176 1987 0 5 49
a 176 2383 0 10 22
a 176 412 0 4 23
a 176 2634 0 7 40
a 176 1994 0 4 18
a 176 1799 0 7 39
a 176 2651 0 7 40
a 176 1368 0 4 8
a 176 1457 0 7 13
a 176 1686 0 9 18
a 176 865 0 2 3
a 249 2038 0 1167 23
a 249 1050 0 9 35
a 249 384 0 10 34
a 249 1454 0 2 12
a 249 2303 0 1 21
a 249 203 0 8 43
a 249 645 0 8 25
a 249 1854 0 5 17
a 249 279 0 10 2
a 249 1719 0 2 44
a 249 2628 0 4 22
a 249 56 0 1 41
a 249 1302 0 5 11
a 249 1751 0 3 22
a 249 381 0 6 9
a 249 1354 0 10 27
a 256 518 0 1167 50
a 256 246 0 4 37
a 256 500 0 5 46
a 257 2426 0 1167 44
a 257 2861 0 1 20
a 257 717 0 5 23
a 257 2430 0 10 1
a 257 1054 0 3 13
a 257 798 0 3 33
a 257 493 0 10 24
a 257 381 0 1 4
a 257 81 0 1 46
a 257 1414 0 3 38
a 257 2496 0 7 45
a 257 2395 0 9 33
a 257 555 0 2 42
a 257 2211 0 10 8
a 257 2790 0 2 9
a 257 772 0 7 8
a 257 2682 0 8 48
a 257 725 0 7 36
a 257 121 0 1 25
a 274 598 0 1167 39
a 274 1645 0 1 10
a 274 1768 0 5 36
a 274 1593 0 1 9
a 274 1758 0 2 50
a 274 1381 0 3 36
a 274 2657 0 7 39
a 274 2869 0 9 48
a 274 2810 0 3 38
a 274 2340 0 2 25
a 274 610 0 4 23
a 274 462 0 4 13
a 274 1308 0 10 36
a 279 2826 0 1167 50
a 279 458 0 7 50
a 279 1554 0 3 40
a 279 38 0 10 17
