c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          74171435
c   Number of nodes:      300
c   Source nodes:         8
c   Sink nodes:           9
c   Number of arcs:       2000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         4000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 300 4000
n 1 1116
n 2 99
n 3 381
n 4 339
n 5 560
n 6 684
n 7 397
n 8 424
n 292 -198
n 293 -270
n 294 -856
n 295 -97
n 296 -1446
n 297 -111
n 298 -485
n 299 -347
n 300 -190
a 1 189 0 1116 45
a 1 120 0 3 71
a 1 64 0 5 109
a 1 224 0 1 99
a 1 55 0 6 199
a 1 53 0 1 14
a 1 104 0 1 25
a 1 21 0 5 156
a 1 136 0 10 37
a 1 202 0 7 24
a 1 119 0 7 81
a 1 115 0 4 49
a 22 142 0 1116 200
a 22 119 0 2 67
a 22 253 0 6 174
a 22 72 0 5 125
a 22 78 0 6 157
a 23 22 0 1116 200
a 23 143 0 1 117
a 23 91 0 4 193
a 38 175 0 1116 49
a 38 282 0 10 146
a 38 294 0 10 7
a 38 251 0 8 121
a 53 88 0 1116 18
a 53 84 0 6 193
a 53 96 0 2 173
a 53 186 0 3 114
a 63 111 0 1116 16
a 63 99 0 2 29
a 63 149 0 2 143
a 63 65 0 4 39
a 63 229 0 9 74
a 63 54 0 1 169
a 63 296 0 6 22
a 63 260 0 10 95
a 63 33 0 3 172
a 63 40 0 1 37
a 72 282 0 1116 164
a 72 23 0 4 33
a 72 22 0 8 96
a 72 218 0 4 95
a 72 216 0 4 140
a 72 289 0 3 130
a 72 161 0 7 184
a 72 53 0 9 18
a 72 9 0 5 99
a 72 20 0 3 157
a 72 41 0 7 91
a 80 214 0 1116 120
a 80 30 0 7 165
a 80 117 0 3 37
a 80 230 0 6 65
a 80 22 0 7 131
a 80 259 0 5 31
a 80 216 0 8 106
a 80 146 0 4 90
a 80 162 0 10 133
a 80 132 0 5 185
a 80 155 0 10 107
a 88 229 0 1116 91
a 88 225 0 1 44
a 88 66 0 4 156
a 88 247 0 1 140
a 88 63 0 4 20
a 99 80 0 1116 200
a 99 20 0 10 161
a 99 27 0 10 36
a 99 291 0 9 65
a 99 106 0 10 54
a 99 121 0 6 69
a 99 221 0 3 3
a 111 125 0 1116 78
a 111 239 0 5 187
a 111 9 0 6 43
a 111 140 0 8 86
a 111 79 0 8 159
a 111 254 0 6 110
a 111 66 0 1 107
a 111 85 0 7 146
a 111 51 0 5 166
a 111 16 0 2 117
a 111 65 0 10 200
a 111 248 0 4 92
a 113 99 0 1116 106
a 113 131 0 7 148
a 113 233 0 2 155
a 113 54 0 4 113
a 113 240 0 5 122
a 113 256 0 10 36
a 113 133 0 7 92
a 113 177 0 5 155
a 113 123 0 1 141
a 113 152 0 1 21
a 125 38 0 1116 200
a 125 59 0 4 170
a 125 138 0 10 135
a 125 236 0 4 93
a 125 226 0 5 77
a 125 270 0 2 4
a 130 72 0 1116 30
a 130 121 0 7 33
a 130 47 0 8 96
a 130 41 0 10 26
a 130 234 0 10 42
a 130 294 0 10 44
a 130 231 0 4 126
a 130 190 0 1 181
a 130 189 0 2 61
a 130 200 0 3 46
a 130 227 0 4 149
a 130 285 0 2 138
a 142 188 0 1116 158
a 142 261 0 4 8
a 142 167 0 1 80
a 142 222 0 10 113
a 142 205 0 10 140
a 142 256 0 4 186
a 142 204 0 6 75
a 142 283 0 7 128
a 152 154 0 1116 138
a 152 172 0 3 65
a 152 20 0 7 27
a 152 166 0 1 63
a 152 187 0 2 150
a 152 57 0 8 127
a 152 73 0 5 29
a 152 200 0 2 172
a 154 240 0 1116 200
a 154 74 0 1 38
a 160 23 0 1116 62
a 160 49 0 5 59
a 160 74 0 7 123
a 160 99 0 3 18
a 160 144 0 1 43
a 160 218 0 7 179
a 160 219 0 8 3
a 160 88 0 5 92
a 160 159 0 8 146
a 160 36 0 2 197
a 160 141 0 2 4
a 160 149 0 8 123
a 165 152 0 1116 200
a 165 271 0 1 99
a 165 276 0 7 107
a 165 287 0 7 9
a 165 186 0 3 59
a 165 223 0 7 156
a 165 63 0 2 199
a 165 200 0 5 140
a 165 168 0 8 141
a 165 139 0 4 136
a 165 230 0 3 130
a 166 165 0 1116 200
a 166 220 0 1 158
a 166 63 0 2 54
a 166 62 0 9 147
a 166 133 0 7 17
a 166 188 0 9 75
a 166 87 0 8 105
a 166 206 0 10 135
a 166 13 0 3 174
a 166 14 0 6 77
a 166 296 0 1 42
a 175 160 0 1116 35
a 175 19 0 10 155
a 175 284 0 2 85
a 175 251 0 10 92
a 175 55 0 5 175
a 175 120 0 8 18
a 175 58 0 2 7
a 188 247 0 1116 200
a 188 184 0 9 190
a 188 228 0 4 31
a 188 230 0 6 200
a 188 31 0 7 84
a 188 248 0 6 126
a 188 115 0 9 97
a 188 231 0 7 25
a 188 110 0 5 73
