c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          25143970
c   Number of nodes:      1200
c   Source nodes:         10
c   Sink nodes:           10
c   Number of arcs:       10000
c   Minimum arc cost:     1
c   Maximum arc cost:     50
c   Total supply:         6000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 1200 10000
n 1 452
n 2 512
n 3 855
n 4 145
n 5 535
n 6 929
n 7 1095
n 8 535
n 9 318
n 10 624
n 1191 -37
n 1192 -313
n 1193 -680
n 1194 -245
n 1195 -1454
n 1196 -864
n 1197 -340
n 1198 -891
n 1199 -70
n 1200 -1106
a 1 1117 0 452 1
a 1 822 0 1 22
a 1 57 0 5 3
a 1 965 0 8 18
a 1 677 0 1 5
a 1 534 0 7 45
a 1 72 0 4 34
a 1 654 0 3 3
a 1 398 0 2 24
a 1 324 0 9 29
a 1 609 0 6 14
a 1 129 0 6 6
a 1 891 0 9 38
a 1 1139 0 1 17
a 17 822 0 452 50
a 17 484 0 6 39
a 17 622 0 10 44
a 17 1015 0 10 33
a 24 646 0 452 50
a 24 672 0 7 6
a 24 953 0 2 36
a 24 119 0 4 37
a 24 1048 0 3 10
a 24 1028 0 4 30
a 24 410 0 9 39
a 31 225 0 452 29
a 31 590 0 4 32
a 31 895 0 2 13
a 31 1185 0 5 43
a 31 238 0 3 42
a 35 617 0 452 16
a 35 503 0 1 49
a 35 1026 0 10 49
a 35 179 0 9 36
a 35 359 0 4 12
a 39 989 0 452 9
a 39 91 0 2 18
a 39 652 0 5 34
a 39 403 0 4 1
a 39 467 0 5 7
a 44 856 0 452 32
a 44 125 0 2 21
a 48 399 0 452 42
a 48 409 0 9 13
a 48 773 0 7 35
a 53 610 0 452 50
a 53 60 0 10 28
a 53 919 0 3 42
a 53 1024 0 10 27
a 53 251 0 5 26
a 53 411 0 6 42
a 53 1039 0 8 44
a 53 272 0 5 10
a 53 712 0 9 4
a 53 355 0 5 8
a 53 647 0 8 11
a 53 282 0 4 28
a 53 956 0 10 14
a 53 193 0 9 22
a 53 770 0 6 21
a 58 767 0 452 19
a 58 386 0 4 24
a 59 710 0 452 4
a 59 545 0 8 33
a 59 876 0 2 22
a 59 256 0 7 25
a 59 976 0 9 50
a 59 32 0 9 32
a 59 260 0 3 45
a 59 386 0 3 28
a 59 584 0 3 19
a 59 347 0 6 46
a 65 1168 0 452 7
a 65 592 0 1 39
a 65 773 0 5 20
a 65 572 0 2 28
a 65 522 0 1 1
a 65 1187 0 3 7
a 65 227 0 9 18
a 65 848 0 4 15
a 65 261 0 10 22
a 65 403 0 4 1
a 65 1077 0 10 17
a 65 1090 0 3 21
a 65 47 0 2 42
a 65 36 0 4 27
a 68 961 0 452 44
a 68 97 0 7 38
a 68 435 0 1 18
a 68 512 0 7 8
a 68 431 0 1 50
a 68 971 0 3 49
a 68 578 0 7 25
a 68 675 0 8 28
a 68 1118 0 7 15
a 68 426 0 4 26
a 80 1073 0 452 17
a 80 303 0 1 38
a 80 534 0 7 11
a 80 209 0 1 26
a 80 316 0 6 42
a 80 238 0 5 15
a 80 265 0 2 24
a 80 653 0 6 23
a 82 119 0 452 20
a 82 811 0 9 48
a 93 883 0 452 50
a 93 1176 0 4 3
a 119 482 0 452 50
a 119 300 0 8 8
a 119 66 0 4 47
a 119 377 0 6 19
a 119 178 0 5 7
a 119 1179 0 1 6
a 134 430 0 452 49
a 134 993 0 10 12
a 134 428 0 8 14
a 134 1051 0 2 40
a 134 814 0 6 36
a 134 884 0 5 44
a 134 555 0 6 39
a 134 1180 0 6 38
a 134 958 0 2 4
a 134 945 0 9 48
a 134 812 0 8 47
a 137 1001 0 452 50
a 137 625 0 5 30
a 137 367 0 9 27
a 137 570 0 10 48
a 137 482 0 8 38
a 137 696 0 7 1
a 137 443 0 1 42
a 137 753 0 4 3
a 137 818 0 4 17
a 139 641 0 452 2
a 139 614 0 4 6
a 139 599 0 10 30
a 139 448 0 1 31
a 142 916 0 452 50
a 142 40 0 7 42
a 142 332 0 2 12
a 142 1000 0 4 37
a 142 770 0 2 29
a 142 106 0 9 37
a 142 446 0 6 15
a 142 1022 0 6 47
a 142 1056 0 1 30
a 142 765 0 10 22
a 142 759 0 8 5
a 142 136 0 3 20
a 142 319 0 3 12
a 157 166 0 452 38
a 157 221 0 8 49
a 157 16 0 7 32
a 157 572 0 9 32
a 157 640 0 3 14
a 157 666 0 8 18
a 157 55 0 1 34
a 157 320 0 4 7
a 157 1156 0 5 23
a 157 903 0 7 27
a 157 377 0 5 24
a 157 172 0 5 13
a 157 425 0 5 27
a 157 815 0 1 49
a 162 577 0 452 13
a 162 612 0 7 33
a 162 179 0 10 5
a 162 1005 0 7 30
a 162 435 0 7 21
a 162 1182 0 1 13
a 162 83 0 9 18
a 166 1030 0 452 50
a 166 595 0 3 38
a 166 915 0 4 22
a 166 894 0 8 48
a 166 385 0 9 19
